(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '61103'), ('Dst. Port: ', '3478'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '55242'), ('Dst. Port: ', '3478'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '115'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '308'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1592'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '298'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1745'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '784'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1779'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1374'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1319'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1440'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1670'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2034'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '671'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1857'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1721'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '182'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '902'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '993'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '370'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1716'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1674'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '533'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1125'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '888'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1254'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1718'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2023'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '224'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1468'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1564'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1116'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1578'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '91'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1507'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '359'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '260'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '260'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '83'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '757'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1295'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1149'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '877'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1733'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1422'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1811'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1728'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1141'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1158'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '121'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1331'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1023'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '923'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2013'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '209'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1437'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1025'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1006'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '2018'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '51589'), ('Dst. Port: ', '1260'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1318'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '316'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1237'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '110'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '960'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1151'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1532'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1250'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1264'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1835'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1516'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '401'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '270'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1433'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '654'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1383'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '838'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1662'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '740'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '371'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '616'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1980'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '339'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1986'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1811'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1762'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1968'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '892'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '2033'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '738'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '331'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1903'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '407'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '833'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1003'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1889'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1660'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '141'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1093'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '307'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '2000'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1395'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1724'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1894'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '159'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1714'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '420'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1447'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1216'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1979'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '962'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '149'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '92'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '288'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1601'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1316'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1616'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1624'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1005'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '419'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1769'))
(('Name: ', <UDP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '1147'))
(('Name: ', <IP Layer>), ('Scr. Port: ', '63814'), ('Dst. Port: ', '556'))
